"본 자료는 실거래가 사이트에서 제공하고 있는  계약일 기준 자료로 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기 바라며,",,,,,,,,
외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.,,,,,,,,
* 주택매매 거래는 부동산거래신고에관한법률 제3조에 따라 계약 후 60일이내 신고토록 규정,,,,,,,,
"** 주택매매 거래량은 매월 15일경 부동산통계정보시스템(www.r-one.co.kr)에서  확인 가능하며, 전월세 거래량은 국토교통부 홈페이지(보도자료)를 통해 확인 가능",,,,,,,,
,,,,,,,,
,,,,,,,,
시군구,번지,단지명,전용면적(㎡),계약일,거래금액(만원),층,건축년도,도로명
 충청북도 옥천군 옥천읍 문정리,376,옥천문정주공(3)단지아파트,49.85,21~31,"8,850",15,1999,문장로2길
 충청북도 옥천군 옥천읍 장야리,313,옥천장야주공(1)단지,59.64,11~20,"12,500",12,2002,장야3길
 충청북도 옥천군 옥천읍 죽향리,153,옥향아파트,59.76,1~10,"8,350",11,1997,성왕로
 충청북도 옥천군 옥천읍 죽향리,153,옥향아파트,59.76,1~10,"8,000",10,1997,성왕로
 충청북도 옥천군 옥천읍 죽향리,153,옥향아파트,108.42,11~20,"14,100",11,1997,성왕로
 충청북도 옥천군 옥천읍 죽향리,153,옥향아파트,108.42,21~31,"14,700",15,1997,성왕로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,46.32,1~10,"7,450",12,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,46.32,1~10,"7,500",10,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,46.32,11~20,"7,500",7,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,46.32,11~20,"7,750",9,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,46.32,21~31,"7,650",6,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,46.32,21~31,"6,700",1,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,59.97,1~10,"12,800",10,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,59.97,1~10,"12,850",11,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,59.97,11~20,"12,500",5,2003,음성로
 충청북도 음성군 감곡면 오향리,568,덕일한마음,59.97,21~31,"8,000",11,2003,음성로
 충청북도 음성군 감곡면 오향리,405-16,드림타워,58.72,1~10,"9,200",10,2011,거일길
 충청북도 음성군 감곡면 오향리,557-4,부강,84.84,11~20,"11,900",15,1993,음성로
 충청북도 음성군 감곡면 오향리,409-1,삼성래미안,84.94,11~20,"12,200",6,1994,거일길
 충청북도 음성군 금왕읍 금석리,259,로얄맨션,58.86,1~10,"6,600",5,1991,음성로
 충청북도 음성군 금왕읍 금석리,340-7,음성금왕두진하트리움,65.62,1~10,"17,400",11,2007,대금로
 충청북도 음성군 금왕읍 금석리,340-7,음성금왕두진하트리움,84.93,1~10,"21,300",14,2007,대금로
 충청북도 음성군 금왕읍 금석리,340-7,음성금왕두진하트리움,84.93,1~10,"20,500",4,2007,대금로
 충청북도 음성군 금왕읍 금석리,340-7,음성금왕두진하트리움,84.93,11~20,"21,300",13,2007,대금로
 충청북도 음성군 금왕읍 무극리,661,두진백로2차,84.85,1~10,"14,200",8,1997,탑골길
 충청북도 음성군 금왕읍 무극리,585-11,명운네스트빌,59.95,1~10,"12,500",7,2004,무극로
 충청북도 음성군 금왕읍 무극리,585-11,명운네스트빌,118.88,1~10,"19,800",4,2004,무극로
 충청북도 음성군 금왕읍 무극리,503,유수장미,36.08,11~20,"5,350",8,1998,무극로
 충청북도 음성군 금왕읍 무극리,503,유수장미,59.34,21~31,"8,300",6,1998,무극로
 충청북도 음성군 금왕읍 무극리,503,유수장미,59.34,21~31,"8,000",1,1998,무극로
 충청북도 음성군 금왕읍 무극리,34-3,음성금왕휴먼시아(구.주공2단지),51.95,11~20,"9,500",15,2002,대금로
 충청북도 음성군 금왕읍 무극리,34-3,음성금왕휴먼시아(구.주공2단지),51.95,21~31,"10,300",12,2002,대금로
 충청북도 음성군 금왕읍 무극리,504-16,풍산장미,59.88,21~31,"8,200",7,1995,무극로
 충청북도 음성군 금왕읍 오선리,25-4,극동미라주,59.55,1~10,"6,400",4,2002,대금로
 충청북도 음성군 금왕읍 오선리,25-4,극동미라주,59.55,11~20,"6,250",5,2002,대금로
 충청북도 음성군 대소면 대풍리,582-7,산수화,48.66,21~31,"7,400",5,2004,대금로105번길
 충청북도 음성군 대소면 대풍리,582-7,산수화,59.96,1~10,"10,200",13,2004,대금로105번길
 충청북도 음성군 대소면 대풍리,621,음성대소부영,84.8,1~10,"15,900",7,2006,대청로
 충청북도 음성군 대소면 대풍리,621,음성대소부영,84.8,1~10,"14,500",3,2006,대청로
 충청북도 음성군 대소면 대풍리,621,음성대소부영,84.8,1~10,"15,300",11,2006,대청로
 충청북도 음성군 대소면 대풍리,621,음성대소부영,84.8,11~20,"13,500",1,2006,대청로
 충청북도 음성군 대소면 대풍리,621,음성대소부영,84.8,21~31,"13,300",1,2006,대청로
 충청북도 음성군 대소면 부윤리,130-17,무궁화,27.63,1~10,"2,200",4,1995,대동로
 충청북도 음성군 대소면 부윤리,130-17,무궁화,27.63,1~10,"2,100",13,1995,대동로
 충청북도 음성군 대소면 부윤리,130-17,무궁화,27.63,1~10,"2,100",10,1995,대동로
 충청북도 음성군 대소면 부윤리,130-17,무궁화,27.63,11~20,"1,900",4,1995,대동로
 충청북도 음성군 대소면 부윤리,130-17,무궁화,27.63,21~31,"2,300",3,1995,대동로
 충청북도 음성군 대소면 부윤리,130-17,무궁화,40.23,11~20,"3,800",5,1995,대동로
 충청북도 음성군 대소면 부윤리,121-1,한미금강,33.75,1~10,"3,000",6,1994,신내로
 충청북도 음성군 대소면 부윤리,121-1,한미금강,33.75,11~20,"3,000",4,1994,신내로
 충청북도 음성군 대소면 삼정리,610-5,기흥윗마을,59.96,21~31,"9,900",8,2002,대동로
 충청북도 음성군 대소면 삼정리,610-5,기흥윗마을,84.66,21~31,"13,200",7,2002,대동로
 충청북도 음성군 대소면 소석리,11-7,음성SK VIEW,84.86,1~10,"14,950",11,2008,대금로
 충청북도 음성군 대소면 소석리,11-7,음성SK VIEW,84.86,11~20,"14,600",3,2008,대금로
 충청북도 음성군 대소면 오류리,66-5,기흥아랫마을,56.83,21~31,"10,300",4,2000,대금로379번길
 충청북도 음성군 대소면 오류리,66-5,기흥아랫마을,56.83,21~31,"9,800",11,2000,대금로379번길
 충청북도 음성군 대소면 오산리,114-5,풍산,49.86,11~20,"6,500",1,1991,오산로
 충청북도 음성군 대소면 태생리,756,대소두진하트리움,66.89,11~20,"15,000",4,2012,대금로
 충청북도 음성군 대소면 태생리,756,대소두진하트리움,75.24,1~10,"18,000",5,2012,대금로
 충청북도 음성군 대소면 태생리,756,대소두진하트리움,75.24,11~20,"17,000",15,2012,대금로
 충청북도 음성군 대소면 태생리,756,대소두진하트리움,75.24,11~20,"16,500",5,2012,대금로
 충청북도 음성군 대소면 태생리,79-5,대소한양1,40.8,21~31,"5,750",2,1997,대화1길
 충청북도 음성군 대소면 태생리,79-5,대소한양1,51.99,1~10,"7,000",3,1997,대화1길
 충청북도 음성군 대소면 태생리,79-12,대소한양2,39.84,21~31,"5,300",1,1997,대화1길
 충청북도 음성군 대소면 태생리,79-12,대소한양2,51.99,1~10,"6,900",1,1997,대화1길
 충청북도 음성군 대소면 태생리,79-12,대소한양2,59.94,1~10,"8,500",5,1997,대화1길
 충청북도 음성군 대소면 태생리,308,한진신세대,34.8,11~20,"3,900",9,1998,대성로77번길
 충청북도 음성군 대소면 태생리,308,한진신세대,59.79,11~20,"6,200",1,1998,대성로77번길
 충청북도 음성군 대소면 태생리,308,한진신세대,59.79,21~31,"6,850",2,1998,대성로77번길
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,74.42,11~20,"19,500",11,2014,학예로
 충청북도 음성군 맹동면 동성리,246,엘에이치이노밸리,74.42,21~31,"20,300",9,2014,학예로
